date,CGDP
1963Q1,81.6
1963Q2,83.1
1963Q3,83.6
1963Q4,84.8
1964Q1,84.3
1964Q2,85.2
1964Q3,85.3
1964Q4,86.4
1965Q1,86.3
1965Q2,87.3
1965Q3,87.3
1965Q4,87.5
1966Q1,86.8
1966Q2,87.5
1966Q3,86.8
1966Q4,86.9
1967Q1,86.5
1967Q2,87.5
1967Q3,87.7
1967Q4,89.9
1968Q1,88.3
1968Q2,88.9
1968Q3,88.5
1968Q4,89.3
1969Q1,88.3
1969Q2,89.4
1969Q3,89.2
1969Q4,90.0
1970Q1,89.2
1970Q2,90.2
1970Q3,90.6
1970Q4,91.4
1971Q1,90.9
1971Q2,91.8
1971Q3,92.1
1971Q4,92.5
1972Q1,92.5
1972Q2,93.7
1972Q3,93.9
1972Q4,94.6
1973Q1,94.8
1973Q2,95.8
1973Q3,96.2
1973Q4,96.3
1974Q1,96.3
1974Q2,97.9
1974Q3,98.4
1974Q4,98.6
1975Q1,97.2
1975Q2,96.9
1975Q3,96.2
1975Q4,95.9
1976Q1,94.2
1976Q2,94.2
1976Q3,94.1
1976Q4,94.7
1977Q1,94.8
1977Q2,95.9
1977Q3,96.2
1977Q4,97.1
1978Q1,97.1
1978Q2,98.1
1978Q3,98.4
1978Q4,98.5
1979Q1,97.8
1979Q2,99.2
1979Q3,100.0
1979Q4,100.6
1980Q1,100.8
1980Q2,100.3
1980Q3,100.8
1980Q4,101.4
1981Q1,100.0
1981Q2,100.2
1981Q3,99.5
1981Q4,99.4
1982Q1,99.7
1982Q2,100.6
1982Q3,101.2
1982Q4,101.9
1983Q1,101.7
1983Q2,102.5
1983Q3,102.9
1983Q4,103.4
1984Q1,103.2
1984Q2,104.4
1984Q3,104.9
1984Q4,106.6
1985Q1,107.6
1985Q2,109.2
1985Q3,110.4
1985Q4,113.1
1986Q1,113.3
1986Q2,115.0
1986Q3,116.9
1986Q4,119.4
1987Q1,119.4
1987Q2,121.1
1987Q3,122.0
1987Q4,122.7
1988Q1,122.9
1988Q2,123.9
1988Q3,124.2
1988Q4,124.9
1989Q1,124.5
1989Q2,125.0
1989Q3,124.7
1989Q4,125.2
1990Q1,125.5
1990Q2,125.5
1990Q3,125.2
1990Q4,125.1
1991Q1,124.4
1991Q2,124.7
1991Q3,123.8
1991Q4,123.1
1992Q1,122.0
1992Q2,121.0
1992Q3,120.2
1992Q4,119.2
1993Q1,118.2
1993Q2,118.3
1993Q3,118.5
1993Q4,118.8
1994Q1,118.8
1994Q2,118.9
1994Q3,118.8
1994Q4,119.4
1995Q1,119.2
1995Q2,120.2
1995Q3,120.7
1995Q4,121.5
1996Q1,121.8
1996Q2,122.3
1996Q3,122.5
1996Q4,122.3
1997Q1,122.1
1997Q2,122.7
1997Q3,123.5
1997Q4,124.1
1998Q1,124.9
1998Q2,127.0
1998Q3,128.1
1998Q4,129.4
1999Q1,130.4
1999Q2,131.3
1999Q3,133.1
1999Q4,133.9
2000Q1,134.8
2000Q2,135.7
2000Q3,136.2
2000Q4,136.7
2001Q1,136.3
2001Q2,138.4
2001Q3,140.4
2001Q4,141.4
2002Q1,142.0
2002Q2,143.2
2002Q3,144.2
2002Q4,145.6
2003Q1,146.1
2003Q2,148.5
2003Q3,149.2
2003Q4,149.3
2004Q1,149.7
2004Q2,150.6
2004Q3,151.4
2004Q4,153.2
2005Q1,153.3
2005Q2,154.8
2005Q3,156.0
2005Q4,157.3
2006Q1,159.0
2006Q2,160.9
2006Q3,162.3
2006Q4,163.9
2007Q1,164.9
2007Q2,167.5
2007Q3,169.2
2007Q4,170.6
2008Q1,171.4
2008Q2,171.2
2008Q3,172.0
2008Q4,170.7
2009Q1,170.3
2009Q2,170.9
2009Q3,171.1
2009Q4,169.5
2010Q1,167.5
2010Q2,165.0
2010Q3,162.9
2010Q4,160.7
2011Q1,159.0
2011Q2,157.7
2011Q3,156.8
2011Q4,156.1
2012Q1,154.5
2012Q2,153.4
2012Q3,153.0
2012Q4,152.7
2013Q1,151.5
2013Q2,151.6
2013Q3,151.6
2013Q4,151.6
2014Q1,151.5
2014Q2,151.2
2014Q3,150.4
2014Q4,150.6
2015Q1,149.9
2015Q2,150.7
2015Q3,151.0
2015Q4,150.8
2016Q1,151.4
2016Q2,152.1
2016Q3,153.0
2016Q4,152.5
2017Q1,152.7
2017Q2,153.4
2017Q3,153.4
2017Q4,154.1
2018Q1,153.3
2018Q2,153.9
