Quarter,MA
3/31/1962,60.6
6/30/1962,50.8
9/30/1962,50
12/31/1962,57.2
3/31/1963,54.7
6/30/1963,58.2
9/30/1963,56.9
12/31/1963,54
3/31/1964,60.2
6/30/1964,60.1
9/30/1964,63.3
12/31/1964,62.4
3/31/1965,64.9
6/30/1965,58.7
9/30/1965,61
12/31/1965,62.8
3/31/1966,65.7
6/30/1966,59
9/30/1966,58.7
12/31/1966,52.4
3/31/1967,45.3
6/30/1967,46.8
9/30/1967,54.9
12/31/1967,55.6
3/31/1968,53.8
6/30/1968,53.5
9/30/1968,51.8
12/31/1968,56.1
3/31/1969,57.1
6/30/1969,55.5
9/30/1969,54.1
12/31/1969,52
3/31/1970,46.9
6/30/1970,51.1
9/30/1970,44.1
12/31/1970,45.4
3/31/1971,51.2
6/30/1971,53.8
9/30/1971,55.1
12/31/1971,57.6
3/31/1972,59.8
6/30/1972,58.6
9/30/1972,65.1
12/31/1972,70.5
3/31/1973,69.6
6/30/1973,65
9/30/1973,63.5
12/31/1973,63.6
3/31/1974,61.8
6/30/1974,54.7
9/30/1974,46.2
12/31/1974,30.9
3/31/1975,31.6
6/30/1975,45.1
9/30/1975,54.4
12/31/1975,54.9
3/31/1976,58.4
6/30/1976,58.2
9/30/1976,53.6
12/31/1976,56.6
3/31/1977,58.4
6/30/1977,56.8
9/30/1977,53.9
12/31/1977,59.8
3/31/1978,55
6/30/1978,60.5
9/30/1978,60.5
12/31/1978,59.4
3/31/1979,57.7
6/30/1979,52.7
9/30/1979,49.6
12/31/1979,44.8
3/31/1980,43.6
6/30/1980,30.3
9/30/1980,50.1
12/31/1980,53
3/31/1981,49.6
6/30/1981,50.7
9/30/1981,42.5
12/31/1981,37.8
3/31/1982,36.8
6/30/1982,38.3
9/30/1982,38.8
12/31/1982,42.8
3/31/1983,53.9
6/30/1983,57.5
9/30/1983,62.5
12/31/1983,69.9
3/31/1984,58.9
6/30/1984,58.1
9/30/1984,50
12/31/1984,50.6
3/31/1985,47.8
6/30/1985,47.8
9/30/1985,49.9
12/31/1985,50.7
3/31/1986,51
6/30/1986,50.5
9/30/1986,52.4
12/31/1986,50.5
3/31/1987,55
6/30/1987,57.4
9/30/1987,60
12/31/1987,61
3/31/1988,54.6
6/30/1988,59.3
9/30/1988,54.5
12/31/1988,56
3/31/1989,51.5
6/30/1989,47.3
9/30/1989,46
12/31/1989,47.4
3/31/1990,49.9
6/30/1990,49.2
9/30/1990,44.5
12/31/1990,40.8
3/31/1991,40.7
6/30/1991,50.3
9/30/1991,54.9
12/31/1991,46.8
3/31/1992,54.6
6/30/1992,53.6
9/30/1992,49.7
12/31/1992,54.2
3/31/1993,53.5
6/30/1993,49.6
9/30/1993,50.8
12/31/1993,55.6
3/31/1994,56.9
6/30/1994,58.8
9/30/1994,59
12/31/1994,56.1
3/31/1995,52.1
6/30/1995,45.9
9/30/1995,48.1
12/31/1995,46.2
3/31/1996,46.9
6/30/1996,53.6
9/30/1996,51.1
12/31/1996,55.2
3/31/1997,53.8
6/30/1997,54.9
9/30/1997,53.9
12/31/1997,54.5
3/31/1998,52.9
6/30/1998,48.9
9/30/1998,48.7
12/31/1998,46.8
3/31/1999,52.4
6/30/1999,55.8
9/30/1999,57
12/31/1999,57.8
3/31/2000,54.9
6/30/2000,51.4
9/30/2000,49.7
12/31/2000,43.9
3/31/2001,43.1
6/30/2001,43.2
9/30/2001,46.2
12/31/2001,45.3
3/31/2002,52.4
6/30/2002,53.6
9/30/2002,50.5
12/31/2002,51.6
3/31/2003,46.3
6/30/2003,49
9/30/2003,52.4
12/31/2003,60.1
3/31/2004,60.6
6/30/2004,60.5
9/30/2004,57.4
12/31/2004,57.2
3/31/2005,54.9
6/30/2005,52.6
9/30/2005,56.5
12/31/2005,54.9
3/31/2006,54.7
6/30/2006,52.4
9/30/2006,51.8
12/31/2006,52
3/31/2007,51.2
6/30/2007,53.2
9/30/2007,50.4
12/31/2007,48.7
3/31/2008,49.1
6/30/2008,50
9/30/2008,43.2
12/31/2008,33.3
3/31/2009,36.6
6/30/2009,44.7
9/30/2009,53.2
12/31/2009,56.4
3/31/2010,59.3
6/30/2010,56
9/30/2010,56.4
12/31/2010,57.3
3/31/2011,59.3
6/30/2011,55.8
9/30/2011,53.2
12/31/2011,52.9
3/31/2012,53
6/30/2012,51
9/30/2012,52.2
12/31/2012,50.4
3/31/2013,51.5
6/30/2013,52.5
9/30/2013,56
12/31/2013,56.5
3/31/2014,53.7
6/30/2014,55.3
9/30/2014,56.6
12/31/2014,55.1
3/31/2015,51.5
6/30/2015,53.5
9/30/2015,50.2
12/31/2015,48
3/31/2016,51.8
6/30/2016,53.2
9/30/2016,51.5
12/31/2016,54.5
3/31/2017,57.2
6/30/2017,57.8
9/30/2017,60.8
12/31/2017,59.3
3/31/2018,59.3
6/30/2018,60.2
9/30/2018,59.8
12/31/2018,54.3
3/31/2019,55.3
6/30/2019,51.7
9/30/2019,47.8
12/31/2019,47.8
3/31/2020,49.1
6/30/2020,52.6
9/30/2020,55.4
12/31/2020,60.5
3/31/2021,64.7
6/30/2021,60.6
9/30/2021,61.1
12/31/2021,58.8
3/31/2022,57.1
6/30/2022,53
9/30/2022,50.9
12/31/2022,48.4
3/31/2023,46.3
6/30/2023,46
9/30/2023,49
12/31/2023,47.1
3/31/2024,50.3
6/30/2024,48.5
9/30/2024,47.2
12/31/2024,49.2
3/31/2025,49
6/30/2025,49
9/30/2025,49.1
